Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P08758|ANXA5_HUMAN	P08758	ANXA5_HUMAN	ANXA5	320	Homo sapiens OX=9606	Annexin A5 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	12	0	12	3.7657832E7	0	3.7657832E7	6M(15.9949),9M(15.9949)		
sp|P08865|RSSA_HUMAN	P08865	RSSA_HUMAN	RPSA	295	Homo sapiens OX=9606	40S ribosomal protein SA 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	12	0	12	8.6373888E7	0	8.6373888E7	N-term(42.0106),9M(15.9949), N-term(42.0106),8C(57.0214)		tr|A0A0C4DG17|A0A0C4DG17_HUMAN, tr|C9J9K3|C9J9K3_HUMAN
sp|P08962|CD63_HUMAN	P08962	CD63_HUMAN	CD63	238	Homo sapiens OX=9606	CD63 antigen 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	3934163.0	0	3934163.0	2M(15.9949)		tr|F8VNT9|F8VNT9_HUMAN, tr|F8VV56|F8VV56_HUMAN, tr|F8VWK8|F8VWK8_HUMAN, tr|F8W022|F8W022_HUMAN
sp|P09001|RM03_HUMAN	P09001	RM03_HUMAN	MRPL3	348	Homo sapiens OX=9606	39S ribosomal protein L3, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	2428574.5	0	2428574.5	11C(57.0214)		tr|D6RC14|D6RC14_HUMAN, tr|E7ETU7|E7ETU7_HUMAN, tr|H0Y9G6|H0Y9G6_HUMAN
sp|P09012|SNRPA_HUMAN	P09012	SNRPA_HUMAN	SNRPA	282	Homo sapiens OX=9606	U1 small nuclear ribonucleoprotein A 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	6	0	6	1.6366571E7	0	1.6366571E7	N-term(42.0106),2M(15.9949)		
sp|P09110|THIK_HUMAN	P09110	THIK_HUMAN	ACAA1	424	Homo sapiens OX=9606	3-ketoacyl-CoA thiolase, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	1249748.2	0	1249748.2	16C(57.0214)		tr|H7C131|H7C131_HUMAN
sp|P09234|RU1C_HUMAN	P09234	RU1C_HUMAN	SNRPC	159	Homo sapiens OX=9606	U1 small nuclear ribonucleoprotein C 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	9828536.0	0	9828536.0	3C(57.0214), 6C(57.0214)		tr|A0A0A0MRR7|A0A0A0MRR7_HUMAN
sp|P09382|LEG1_HUMAN	P09382	LEG1_HUMAN	LGALS1	135	Homo sapiens OX=9606	Galectin-1 	1:Experimental evidence at protein level	1.0000	0.9990	7	4	7	11	7	11	5.2569708E7	5.2569708E7	5.2569708E7	2C(57.0214), N-term(42.0106),16C(57.0214), 2C(57.0214), N-term(42.0106),16C(57.0214), 2C(57.0214), N-term(42.0106),12C(57.0214),12C(57.0214),6C(57.0214),6C(57.0214)		
sp|P09429|HMGB1_HUMAN	P09429	HMGB1_HUMAN	HMGB1	215	Homo sapiens OX=9606	High mobility group protein B1 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	8	0	8	6.7321792E7	0	6.7321792E7	11C(57.0214),11C(57.0214), 1M(15.9949)		tr|Q5T7C4|Q5T7C4_HUMAN
sp|P09496|CLCA_HUMAN	P09496	CLCA_HUMAN	CLTA	248	Homo sapiens OX=9606	Clathrin light chain A 	1:Experimental evidence at protein level	1.0000	0.9989	4	0	4	3	0	3	1.50829E7	0	1.50829E7	2C(57.0214)		
sp|P09497|CLCB_HUMAN	P09497	CLCB_HUMAN	CLTB	229	Homo sapiens OX=9606	Clathrin light chain B 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	1	3	0	2	2972530.0	0	2972530.0	5C(57.0214)		
sp|P09525|ANXA4_HUMAN	P09525	ANXA4_HUMAN	ANXA4	319	Homo sapiens OX=9606	Annexin A4 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	6	5	0	4	5758898.0	0	5758898.0	6C(57.0214),8M(15.9949)		tr|Q6P452|Q6P452_HUMAN
sp|P09543|CN37_HUMAN	P09543	CN37_HUMAN	CNP	421	Homo sapiens OX=9606	2',3'-cyclic-nucleotide 3'-phosphodiesterase 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	1	1	1	1958805.1	1326807.6	1958805.1			
sp|P09622|DLDH_HUMAN	P09622	DLDH_HUMAN	DLD	509	Homo sapiens OX=9606	Dihydrolipoyl dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	4	0	4	1.4799243E7	0	1.4799243E7	2C(57.0214),13C(57.0214), 8C(57.0214)		
sp|P09651|ROA1_HUMAN	P09651	ROA1_HUMAN	HNRNPA1	372	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein A1 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	7	15	0	12	2.13460128E8	0	1.88551584E8	9C(57.0214),12C(57.0214), 15M(15.9949)		tr|A0A7I2V3R8|A0A7I2V3R8_HUMAN, tr|F8W6I7|F8W6I7_HUMAN
sp|P09661|RU2A_HUMAN	P09661	RU2A_HUMAN	SNRPA1	255	Homo sapiens OX=9606	U2 small nuclear ribonucleoprotein A' 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	7	0	7	1.3850422E7	0	1.3850422E7			
sp|P09669|COX6C_HUMAN	P09669	COX6C_HUMAN	COX6C	75	Homo sapiens OX=9606	Cytochrome c oxidase subunit 6C 	1:Experimental evidence at protein level	1.0000	0.9987	3	3	3	2	2	2	6332552.0	6332552.0	6332552.0			
sp|P09874|PARP1_HUMAN	P09874	PARP1_HUMAN	PARP1	1014	Homo sapiens OX=9606	Poly [ADP-ribose] polymerase 1 	1:Experimental evidence at protein level	1.0000	0.9990	18	3	18	17	1	17	1.7814734E7	9747961.0	1.7814734E7	4C(57.0214),11M(15.9949),11M(15.9949)		
sp|P09960|LKHA4_HUMAN	P09960	LKHA4_HUMAN	LTA4H	611	Homo sapiens OX=9606	Leukotriene A-4 hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	14	9	14	10	7	10	1.3543613E7	1.1266309E7	1.3543613E7	1C(57.0214),5C(57.0214),14C(57.0214), 9C(57.0214),6M(15.9949),16C(57.0214), 7C(57.0214),4M(15.9949)		
sp|P0C0L4|CO4A_HUMAN	P0C0L4	CO4A_HUMAN	C4A	1744	Homo sapiens OX=9606	Complement C4-A 	1:Experimental evidence at protein level	1.0000	0.9987	4	0	3	3	0	2	1.7192662E7	0	7405783.5			tr|A0A0G2JPR0|A0A0G2JPR0_HUMAN, tr|A0A140TA32|A0A140TA32_HUMAN, tr|A0A140TA44|A0A140TA44_HUMAN, tr|A0A140TA49|A0A140TA49_HUMAN
sp|P0C0S5|H2AZ_HUMAN	P0C0S5	H2AZ_HUMAN	H2AZ1	128	Homo sapiens OX=9606	Histone H2A.Z 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	18	0	18	1.73616538E9	0	1.73616538E9			sp|Q71UI9|H2AV_HUMAN
sp|P0DMM9|ST1A3_HUMAN	P0DMM9	ST1A3_HUMAN	SULT1A3	295	Homo sapiens OX=9606	Sulfotransferase 1A3 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	0	0	0			sp|P0DMN0|ST1A4_HUMAN, tr|A0A0A6YYL2|A0A0A6YYL2_HUMAN
sp|P0DMV8|HS71A_HUMAN	P0DMV8	HS71A_HUMAN	HSPA1A	641	Homo sapiens OX=9606	Heat shock 70 kDa protein 1A 	1:Experimental evidence at protein level	1.0000	0.9990	20	0	15	40	0	28	2.64670976E8	0	1.0442576E8	14C(57.0214),5C(57.0214),10M(15.9949),10M(15.9949),10M(15.9949),7C(57.0214),7C(57.0214)		sp|P0DMV9|HS71B_HUMAN, tr|A0A0G2JIW1|A0A0G2JIW1_HUMAN
sp|P0DP23|CALM1_HUMAN	P0DP23	CALM1_HUMAN	CALM1	149	Homo sapiens OX=9606	Calmodulin-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	14	0	14	3.5773216E7	0	3.5773216E7	6M(15.9949)		sp|P0DP24|CALM2_HUMAN, sp|P0DP25|CALM3_HUMAN
sp|P10253|LYAG_HUMAN	P10253	LYAG_HUMAN	GAA	952	Homo sapiens OX=9606	Lysosomal alpha-glucosidase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	1	1	1	2238511.5	2238511.5	2238511.5			
sp|P10412|H14_HUMAN	P10412	H14_HUMAN	H1-4	219	Homo sapiens OX=9606	Histone H1.4 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	8	1	8	6.7091712E8	5690224.5	6.7091712E8			
sp|P10515|ODP2_HUMAN	P10515	ODP2_HUMAN	DLAT	647	Homo sapiens OX=9606	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	4	0	4	3984979.2	0	3984979.2	10M(15.9949)		tr|A0A7P0TAG1|A0A7P0TAG1_HUMAN, tr|A0A7P0TAX2|A0A7P0TAX2_HUMAN, tr|A0A7P0TBE2|A0A7P0TBE2_HUMAN, tr|A0A7P0Z4G4|A0A7P0Z4G4_HUMAN
sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	Homo sapiens OX=9606	Thioredoxin 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	43	43	43	7.6209616E7	7.6209616E7	7.6209616E7	1C(57.0214),1C(57.0214), 2M(15.9949)		
sp|P10606|COX5B_HUMAN	P10606	COX5B_HUMAN	COX5B	129	Homo sapiens OX=9606	Cytochrome c oxidase subunit 5B, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	2.5451754E7	2.5451754E7	2.5451754E7			
sp|P10619|PPGB_HUMAN	P10619	PPGB_HUMAN	CTSA	480	Homo sapiens OX=9606	Lysosomal protective protein 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	326137.25	0	326137.25			tr|A0A7I2V4K5|A0A7I2V4K5_HUMAN, tr|X6R5C5|X6R5C5_HUMAN, tr|X6R8A1|X6R8A1_HUMAN
sp|P10620|MGST1_HUMAN	P10620	MGST1_HUMAN	MGST1	155	Homo sapiens OX=9606	Microsomal glutathione S-transferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	5942627.0	0	5942627.0	8C(57.0214)		
sp|P10768|ESTD_HUMAN	P10768	ESTD_HUMAN	ESD	282	Homo sapiens OX=9606	S-formylglutathione hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	3249145.0	0	3249145.0			tr|U3KQT1|U3KQT1_HUMAN
sp|P10809|CH60_HUMAN	P10809	CH60_HUMAN	HSPD1	573	Homo sapiens OX=9606	60 kDa heat shock protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	20	0	20	45	0	45	1.25174176E8	0	1.25174176E8	10M(15.9949),13C(57.0214),13C(57.0214),4M(15.9949),4M(15.9949),1C(57.0214),1C(57.0214)		
sp|P10909|CLUS_HUMAN	P10909	CLUS_HUMAN	CLU	449	Homo sapiens OX=9606	Clusterin 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	1016824.0	0	1016824.0			
sp|P11021|BIP_HUMAN	P11021	BIP_HUMAN	HSPA5	654	Homo sapiens OX=9606	Endoplasmic reticulum chaperone BiP 	1:Experimental evidence at protein level	1.0000	0.9990	24	0	21	58	0	49	2.7262896E8	0	1.43104416E8	10M(15.9949),10M(15.9949),11M(15.9949),6M(15.9949)		
sp|P11117|PPAL_HUMAN	P11117	PPAL_HUMAN	ACP2	423	Homo sapiens OX=9606	Lysosomal acid phosphatase 	1:Experimental evidence at protein level	1.0000	0.9988	2	0	2	1	0	1	808645.56	0	808645.56			tr|A0A5F9ZH82|A0A5F9ZH82_HUMAN, tr|A0A5F9ZHR7|A0A5F9ZHR7_HUMAN, tr|B7Z7D2|B7Z7D2_HUMAN, tr|E9PHY0|E9PHY0_HUMAN, tr|E9PQY3|E9PQY3_HUMAN
sp|P11142|HSP7C_HUMAN	P11142	HSP7C_HUMAN	HSPA8	646	Homo sapiens OX=9606	Heat shock cognate 71 kDa protein 	1:Experimental evidence at protein level	1.0000	0.9990	26	0	26	74	0	74	3.14327328E8	0	3.14327328E8	5M(15.9949),14C(57.0214),1M(15.9949),1M(15.9949),10M(15.9949),2C(57.0214),11M(15.9949),11M(15.9949),10M(15.9949),10M(15.9949)		
sp|P11166|GTR1_HUMAN	P11166	GTR1_HUMAN	SLC2A1	492	Homo sapiens OX=9606	Solute carrier family 2, facilitated glucose transporter member 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	3	2	3	3583254.5	3291693.0	3583254.5			
sp|P11172|UMPS_HUMAN	P11172	UMPS_HUMAN	UMPS	480	Homo sapiens OX=9606	Uridine 5'-monophosphate synthase 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	4	1	4	1.2443561E7	1902783.4	1.2443561E7			
sp|P11177|ODPB_HUMAN	P11177	ODPB_HUMAN	PDHB	359	Homo sapiens OX=9606	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	3	6	5	3	5	1.1185206E7	1.035525E7	1.1185206E7	2M(15.9949),5C(57.0214),4M(15.9949)		
sp|P11182|ODB2_HUMAN	P11182	ODB2_HUMAN	DBT	482	Homo sapiens OX=9606	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9981	1	0	1	1	0	1	2678106.2	0	2678106.2			tr|A0A7P0Z494|A0A7P0Z494_HUMAN, tr|Q5VVL7|Q5VVL7_HUMAN
sp|P11216|PYGB_HUMAN	P11216	PYGB_HUMAN	PYGB	843	Homo sapiens OX=9606	Glycogen phosphorylase, brain form 	1:Experimental evidence at protein level	1.0000	0.9989	4	1	1	3	1	1	8706476.0	201059.5	201059.5			
sp|P11279|LAMP1_HUMAN	P11279	LAMP1_HUMAN	LAMP1	417	Homo sapiens OX=9606	Lysosome-associated membrane glycoprotein 1 	1:Experimental evidence at protein level	1.0000	0.9989	5	5	5	2	2	2	3.4655344E7	3.4655344E7	3.4655344E7			
sp|P11310|ACADM_HUMAN	P11310	ACADM_HUMAN	ACADM	421	Homo sapiens OX=9606	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	4679146.0	0	4679146.0			tr|Q5T4U5|Q5T4U5_HUMAN
sp|P11387|TOP1_HUMAN	P11387	TOP1_HUMAN	TOP1	765	Homo sapiens OX=9606	DNA topoisomerase 1 	1:Experimental evidence at protein level	1.0000	0.9990	15	7	15	14	7	14	1.214611E7	1.0391374E7	1.214611E7	6C(57.0214),10C(57.0214),10C(57.0214), 2M(15.9949),5C(57.0214),1C(57.0214),1C(57.0214), 6M(15.9949),6M(15.9949),3M(15.9949)		
sp|P11388|TOP2A_HUMAN	P11388	TOP2A_HUMAN	TOP2A	1531	Homo sapiens OX=9606	DNA topoisomerase 2-alpha 	1:Experimental evidence at protein level	1.0000	0.9990	12	6	12	11	6	11	5835653.5	4941094.0	5835653.5	3M(15.9949),6C(57.0214),5C(57.0214),2C(57.0214)		
sp|P11413|G6PD_HUMAN	P11413	G6PD_HUMAN	G6PD	515	Homo sapiens OX=9606	Glucose-6-phosphate 1-dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	21	7	21	20	8	20	3.027208E7	2.4387804E7	3.027208E7	4C(57.0214),15C(57.0214),15C(57.0214),5C(57.0214),9M(15.9949),N-term(42.0106),5M(15.9949)		
sp|P11498|PYC_HUMAN	P11498	PYC_HUMAN	PC	1178	Homo sapiens OX=9606	Pyruvate carboxylase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	2	6	5	2	5	5170831.0	1145024.5	5170831.0	7C(57.0214)		
sp|P11586|C1TC_HUMAN	P11586	C1TC_HUMAN	MTHFD1	935	Homo sapiens OX=9606	C-1-tetrahydrofolate synthase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	24	0	24	20	0	20	2.0927448E7	0	2.0927448E7	2C(57.0214),10M(15.9949), 9C(57.0214),1M(15.9949),13M(15.9949),10C(57.0214), 6C(57.0214)		tr|F5H2F4|F5H2F4_HUMAN, tr|V9GYY3|V9GYY3_HUMAN
sp|P11717|MPRI_HUMAN	P11717	MPRI_HUMAN	IGF2R	2491	Homo sapiens OX=9606	Cation-independent mannose-6-phosphate receptor 	1:Experimental evidence at protein level	1.0000	0.9989	1	0	1	1	0	1	151032.86	0	151032.86			
sp|P11766|ADHX_HUMAN	P11766	ADHX_HUMAN	ADH5	374	Homo sapiens OX=9606	Alcohol dehydrogenase class-3 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	5	0	5	9590226.0	0	9590226.0	2C(57.0214), 6C(57.0214),2C(57.0214), 6C(57.0214),13C(57.0214), 16C(57.0214)		
sp|P11802|CDK4_HUMAN	P11802	CDK4_HUMAN	CDK4	303	Homo sapiens OX=9606	Cyclin-dependent kinase 4 	1:Experimental evidence at protein level	1.0000	0.9988	2	0	1	2	0	1	2.0133864E7	0	640798.7			tr|F8VTV8|F8VTV8_HUMAN, tr|F8VWX7|F8VWX7_HUMAN, tr|F8VXD2|F8VXD2_HUMAN, tr|F8VYH9|F8VYH9_HUMAN, tr|F8VZ51|F8VZ51_HUMAN, tr|F8VZZ0|F8VZZ0_HUMAN
sp|P11908|PRPS2_HUMAN	P11908	PRPS2_HUMAN	PRPS2	318	Homo sapiens OX=9606	Ribose-phosphate pyrophosphokinase 2 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	6	0	6	8034263.0	0	8034263.0	2C(57.0214),7C(57.0214)		
sp|P11940|PABP1_HUMAN	P11940	PABP1_HUMAN	PABPC1	636	Homo sapiens OX=9606	Polyadenylate-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	17	0	17	15	0	15	5.6723E7	0	5.6723E7	9M(15.9949),5M(15.9949),8M(15.9949),6C(57.0214)		tr|A0A7I2YQ88|A0A7I2YQ88_HUMAN
sp|P12004|PCNA_HUMAN	P12004	PCNA_HUMAN	PCNA	261	Homo sapiens OX=9606	Proliferating cell nuclear antigen 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	6.1946208E7	6.1946208E7	6.1946208E7	1C(57.0214),13C(57.0214),13C(57.0214),11M(15.9949), 4M(15.9949),11M(15.9949)		
sp|P12081|HARS1_HUMAN	P12081	HARS1_HUMAN	HARS1	509	Homo sapiens OX=9606	Histidine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	7	0	7	8811200.0	0	8811200.0			tr|A0A6Q8PHA5|A0A6Q8PHA5_HUMAN, tr|E7ETE2|E7ETE2_HUMAN
sp|P12235|ADT1_HUMAN	P12235	ADT1_HUMAN	SLC25A4	298	Homo sapiens OX=9606	ADP/ATP translocase 1 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	3	14	0	3	1.7196576E8	0	2369927.8	8C(57.0214)		
sp|P12236|ADT3_HUMAN	P12236	ADT3_HUMAN	SLC25A6	298	Homo sapiens OX=9606	ADP/ATP translocase 3 	1:Experimental evidence at protein level	1.0000	0.9990	14	3	4	17	3	4	1.7196576E8	1.5236256E7	1.8124508E7	N-term(42.0106),N-term(42.0106)		
sp|P12268|IMDH2_HUMAN	P12268	IMDH2_HUMAN	IMPDH2	514	Homo sapiens OX=9606	Inosine-5'-monophosphate dehydrogenase 2 	1:Experimental evidence at protein level	1.0000	0.9990	13	0	13	15	0	15	1.9084744E7	0	1.9084744E7	13C(57.0214),4C(57.0214)		tr|A0A7I2V2T3|A0A7I2V2T3_HUMAN, tr|A0A7I2YQK5|A0A7I2YQK5_HUMAN, tr|E7ETK5|E7ETK5_HUMAN, tr|H0Y4R1|H0Y4R1_HUMAN
sp|P12270|TPR_HUMAN	P12270	TPR_HUMAN	TPR	2363	Homo sapiens OX=9606	Nucleoprotein TPR 	1:Experimental evidence at protein level	1.0000	0.9990	16	15	16	12	11	12	1.3669114E7	1.3669114E7	1.3669114E7	N-term(42.0106)		
sp|P12277|KCRB_HUMAN	P12277	KCRB_HUMAN	CKB	381	Homo sapiens OX=9606	Creatine kinase B-type 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	5	0	5	6114706.0	0	6114706.0	11M(15.9949),7C(57.0214)		
sp|P12429|ANXA3_HUMAN	P12429	ANXA3_HUMAN	ANXA3	323	Homo sapiens OX=9606	Annexin A3 	1:Experimental evidence at protein level	1.0000	0.9990	11	0	11	10	0	10	1.445185E7	0	1.445185E7	1M(15.9949),6C(57.0214)		
sp|P12814|ACTN1_HUMAN	P12814	ACTN1_HUMAN	ACTN1	892	Homo sapiens OX=9606	Alpha-actinin-1 	1:Experimental evidence at protein level	1.0000	0.9990	18	0	10	16	0	9	3.377814E7	0	1.5862108E7	8M(15.9949),2M(15.9949),5M(15.9949),7M(15.9949),6C(57.0214)		tr|A0A804HII9|A0A804HII9_HUMAN
sp|P12955|PEPD_HUMAN	P12955	PEPD_HUMAN	PEPD	493	Homo sapiens OX=9606	Xaa-Pro dipeptidase 	1:Experimental evidence at protein level	1.0000	0.9971	1	0	1	1	0	1	0	0	0			tr|A0A494C165|A0A494C165_HUMAN, tr|K7ES25|K7ES25_HUMAN
sp|P12956|XRCC6_HUMAN	P12956	XRCC6_HUMAN	XRCC6	609	Homo sapiens OX=9606	X-ray repair cross-complementing protein 6 	1:Experimental evidence at protein level	1.0000	0.9990	16	1	16	20	2	20	3.6347808E7	1069178.5	3.6347808E7	5M(15.9949),9M(15.9949),6C(57.0214),7M(15.9949),7M(15.9949), 9M(15.9949),2M(15.9949)		
sp|P13010|XRCC5_HUMAN	P13010	XRCC5_HUMAN	XRCC5	732	Homo sapiens OX=9606	X-ray repair cross-complementing protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	17	14	17	24	20	24	3.8658996E7	3.622E7	3.8658996E7	1C(57.0214), 8C(57.0214),4C(57.0214),3M(15.9949),4M(15.9949),3M(15.9949)		
sp|P13073|COX41_HUMAN	P13073	COX41_HUMAN	COX4I1	169	Homo sapiens OX=9606	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	3	1	3	2.5485384E7	5982120.5	2.5485384E7			
sp|P13473|LAMP2_HUMAN	P13473	LAMP2_HUMAN	LAMP2	410	Homo sapiens OX=9606	Lysosome-associated membrane glycoprotein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	1	1	1	1610617.0	1610617.0	1610617.0	1C(57.0214)		
sp|P13489|RINI_HUMAN	P13489	RINI_HUMAN	RNH1	461	Homo sapiens OX=9606	Ribonuclease inhibitor 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	4	0	4	7948157.5	0	7948157.5	11C(57.0214), 21C(57.0214),3C(57.0214),3C(57.0214)		
sp|P13639|EF2_HUMAN	P13639	EF2_HUMAN	EEF2	858	Homo sapiens OX=9606	Elongation factor 2 	1:Experimental evidence at protein level	1.0000	0.9990	28	27	28	51	50	51	1.27812608E8	1.27812608E8	1.27812608E8	6M(15.9949),13M(15.9949),3C(57.0214),9C(57.0214),5C(57.0214),5C(57.0214), 9M(15.9949),1C(57.0214),1C(57.0214),5M(15.9949),2M(15.9949),5M(15.9949),4M(15.9949),4M(15.9949), 5M(15.9949),8C(57.0214),8C(57.0214),11C(57.0214),14M(15.9949),2M(15.9949),5M(15.9949),4M(15.9949),4M(15.9949), 5M(15.9949)		
sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens OX=9606	Keratin, type I cytoskeletal 10 	1:Experimental evidence at protein level	1.0000	0.9990	11	0	8	12	0	5	2.42876576E8	0	9676541.0	10C(57.0214)		tr|A0A1B0GVI3|A0A1B0GVI3_HUMAN
sp|P13667|PDIA4_HUMAN	P13667	PDIA4_HUMAN	PDIA4	645	Homo sapiens OX=9606	Protein disulfide-isomerase A4 	1:Experimental evidence at protein level	1.0000	0.9990	16	1	16	15	0	15	1.4586744E7	625230.1	1.4586744E7	7M(15.9949),9M(15.9949)		
sp|P13693|TCTP_HUMAN	P13693	TCTP_HUMAN	TPT1	172	Homo sapiens OX=9606	Translationally-controlled tumor protein 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	6	0	6	3.4430368E7	0	3.4430368E7	5M(15.9949),3M(15.9949)		tr|A0A0B4J2C3|A0A0B4J2C3_HUMAN, tr|Q5W0H4|Q5W0H4_HUMAN
sp|P13797|PLST_HUMAN	P13797	PLST_HUMAN	PLS3	630	Homo sapiens OX=9606	Plastin-3 	1:Experimental evidence at protein level	1.0000	0.9990	14	0	14	17	0	17	2.3553896E7	0	2.3553896E7	9C(57.0214),5M(15.9949),5C(57.0214),5C(57.0214),1M(15.9949),5M(15.9949)		
sp|P13798|ACPH_HUMAN	P13798	ACPH_HUMAN	APEH	732	Homo sapiens OX=9606	Acylamino-acid-releasing enzyme 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	5	0	5	3835599.8	0	3835599.8			tr|C9JIF9|C9JIF9_HUMAN
sp|P13804|ETFA_HUMAN	P13804	ETFA_HUMAN	ETFA	333	Homo sapiens OX=9606	Electron transfer flavoprotein subunit alpha, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	12	14	0	14	2.9917476E7	0	2.9917476E7	5M(15.9949),8C(57.0214),7C(57.0214),6C(57.0214),9C(57.0214),12M(15.9949)		
sp|P13807|GYS1_HUMAN	P13807	GYS1_HUMAN	GYS1	737	Homo sapiens OX=9606	Glycogen [starch] synthase, muscle 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	4	3	4	4207766.0	3029434.8	4207766.0			
sp|P13861|KAP2_HUMAN	P13861	KAP2_HUMAN	PRKAR2A	404	Homo sapiens OX=9606	cAMP-dependent protein kinase type II-alpha regulatory subunit 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	3	0	3	4492525.5	0	4492525.5			
sp|P13928|ANXA8_HUMAN	P13928	ANXA8_HUMAN	ANXA8	327	Homo sapiens OX=9606	Annexin A8 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	1384701.1	0	1384701.1	4C(57.0214),6C(57.0214)		sp|Q5VT79|AXA81_HUMAN
sp|P13984|T2FB_HUMAN	P13984	T2FB_HUMAN	GTF2F2	249	Homo sapiens OX=9606	General transcription factor IIF subunit 2 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	998545.7	998545.7	998545.7			
sp|P13987|CD59_HUMAN	P13987	CD59_HUMAN	CD59	128	Homo sapiens OX=9606	CD59 glycoprotein 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	6	0	6	3.560008E7	0	3.560008E7	8C(57.0214), 9C(57.0214),4C(57.0214),4C(57.0214),10C(57.0214), 11C(57.0214),10C(57.0214), 11C(57.0214)		tr|A0A2U3TZL5|A0A2U3TZL5_HUMAN, tr|E9PNW4|E9PNW4_HUMAN
